manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,price_usd,is_exchangeable,location_region,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,engine_capacity_bin,car_age,car_age_group,year_bin,price_category,mileage_category,total_features,luxury_score
Subaru,Outback,automatic,silver,190000,2010,petrol,False,gasoline,2.5,wagon,False,used,all,10900.0,False,Минская обл.,9,13,False,True,True,True,False,True,False,True,True,True,16,2.0-2.5l,9,6-10,2006–2010,Economy,High,7,9
Subaru,Outback,automatic,blue,290000,2002,petrol,False,gasoline,3.0,wagon,False,used,all,5000.0,True,Минская обл.,12,54,False,True,False,False,True,True,False,False,False,True,83,2.5-3.0l,17,16-20,2001–2005,Budget,High,5,6
Subaru,Forester,automatic,red,402000,2001,petrol,False,gasoline,2.5,suv,False,used,all,2800.0,True,Минская обл.,4,72,False,True,False,False,False,False,False,False,True,True,151,2.0-2.5l,18,16-20,2001–2005,Budget,Very High,4,4
Subaru,Impreza,manual,blue,10000,1999,petrol,False,gasoline,3.0,sedan,False,used,all,9999.0,True,Минская обл.,9,42,True,False,False,False,False,False,False,False,False,False,86,2.5-3.0l,20,16-20,1996–2000,Budget,Low,2,3
Subaru,Legacy,automatic,black,280000,2001,petrol,False,gasoline,2.5,wagon,False,used,all,2134.11,True,Гомельская обл.,14,7,False,True,False,True,True,False,False,False,False,True,7,2.0-2.5l,18,16-20,2001–2005,Budget,High,5,5
Subaru,Outback,automatic,silver,132449,2011,petrol,False,gasoline,2.5,wagon,False,used,all,14700.0,True,Минская обл.,20,56,False,True,False,False,False,True,False,True,True,True,67,2.0-2.5l,8,6-10,2011–2015,Economy,Medium,6,8
Subaru,Forester,automatic,black,318280,1998,petrol,False,gasoline,2.5,wagon,False,used,all,3000.0,True,Минская обл.,8,147,False,True,False,False,True,True,False,False,True,True,307,2.0-2.5l,21,21-25,1996–2000,Budget,Very High,6,6
Subaru,Legacy,automatic,silver,350000,2004,petrol,False,gasoline,2.5,sedan,False,used,all,4500.0,False,Брестская обл.,7,29,False,True,True,False,False,False,False,False,False,True,73,2.0-2.5l,15,11-15,2001–2005,Budget,Very High,3,3
Subaru,Outback,automatic,grey,179000,2010,petrol,False,gasoline,2.5,wagon,False,used,all,12900.0,False,Минская обл.,17,33,False,True,True,True,True,True,True,True,True,True,87,2.0-2.5l,9,6-10,2006–2010,Economy,High,9,11
Subaru,Forester,automatic,silver,571317,1999,petrol,False,gasoline,2.5,wagon,False,used,all,4200.0,True,Минская обл.,8,11,False,True,True,False,False,True,False,False,False,True,43,2.0-2.5l,20,16-20,1996–2000,Budget,Very High,5,5
Subaru,Forester,manual,other,280000,2003,petrol,False,gasoline,2.0,suv,False,used,all,6900.0,True,Минская обл.,14,6,False,True,False,True,False,True,False,True,True,True,11,1.5-2.0l,16,16-20,2001–2005,Budget,High,7,7
Subaru,Tribeca,automatic,grey,256000,2008,petrol,False,gasoline,3.6,suv,False,used,all,8350.0,True,Минская обл.,18,61,False,True,True,True,True,True,False,False,True,True,80,3.0-4.0l,11,11-15,2006–2010,Budget,High,8,9
Subaru,Forester,manual,other,321000,2002,petrol,False,gasoline,2.0,suv,False,used,all,4300.0,False,Минская обл.,13,2,False,True,False,False,False,False,False,False,False,False,2,1.5-2.0l,17,16-20,2001–2005,Budget,Very High,1,1
Subaru,Justy,manual,red,49999,2001,petrol,False,gasoline,1.3,hatchback,False,used,all,1666.0,False,Гомельская обл.,8,94,True,False,False,False,False,False,False,False,False,False,230,<1.5l,18,16-20,2001–2005,Budget,Low,1,1
Subaru,Outback,automatic,brown,154685,2011,petrol,False,gasoline,2.5,wagon,False,used,all,8600.0,True,Минская обл.,24,34,False,True,False,True,False,False,False,False,True,True,63,2.0-2.5l,8,6-10,2011–2015,Budget,High,5,6
Subaru,Outback,automatic,black,163219,2004,petrol,False,gasoline,2.0,wagon,False,used,all,7300.0,True,Минская обл.,17,22,False,True,True,False,True,True,False,False,False,True,35,1.5-2.0l,15,11-15,2001–2005,Budget,High,6,6
Subaru,Outback,automatic,other,318650,2005,petrol,False,gasoline,3.0,wagon,False,used,all,7587.97,True,Минская обл.,7,166,False,True,False,True,True,True,False,False,True,True,468,2.5-3.0l,14,11-15,2001–2005,Budget,Very High,7,8
Subaru,Impreza,manual,blue,191000,2005,petrol,False,gasoline,2.0,sedan,False,used,all,10950.0,False,Минская обл.,12,7,False,True,False,False,False,False,False,False,False,True,21,1.5-2.0l,14,11-15,2001–2005,Economy,High,2,3
Subaru,Forester,automatic,silver,179000,2014,petrol,False,gasoline,2.0,suv,False,used,all,12700.0,False,Минская обл.,14,14,False,False,True,True,False,True,True,True,True,True,16,1.5-2.0l,5,0-5,2011–2015,Economy,High,7,9
Subaru,Forester,automatic,black,159000,2013,petrol,False,gasoline,2.0,suv,False,used,all,16500.0,False,Минская обл.,6,34,False,True,True,False,True,True,False,True,True,True,59,1.5-2.0l,6,6-10,2011–2015,Economy,High,7,9
Subaru,Outback,automatic,white,257495,2008,petrol,False,gasoline,2.5,wagon,False,used,all,8700.0,False,Гомельская обл.,10,11,False,True,True,False,True,True,True,False,True,True,13,2.0-2.5l,11,11-15,2006–2010,Budget,High,7,7
Subaru,Tribeca,automatic,silver,241402,2005,petrol,False,gasoline,3.0,suv,False,used,all,7500.0,False,Минская обл.,18,18,False,True,False,True,True,True,True,False,True,True,188,2.5-3.0l,14,11-15,2001–2005,Budget,High,7,8
Subaru,Tribeca,automatic,black,188000,2006,petrol,False,gasoline,3.0,suv,False,used,all,8650.0,False,Минская обл.,30,25,False,True,False,False,True,True,False,False,True,True,37,2.5-3.0l,13,11-15,2006–2010,Budget,High,5,6
Subaru,Forester,automatic,blue,240000,2001,petrol,False,gasoline,2.5,wagon,False,used,all,3500.0,True,Минская обл.,5,42,False,True,False,False,True,False,False,False,True,True,86,2.0-2.5l,18,16-20,2001–2005,Budget,High,5,5
Subaru,Legacy,automatic,green,249448,2002,petrol,False,gasoline,2.5,wagon,False,used,all,3800.0,True,Могилевская обл.,12,44,False,True,False,False,False,False,False,False,True,False,67,2.0-2.5l,17,16-20,2001–2005,Budget,High,3,3
Subaru,Tribeca,automatic,other,250000,2007,petrol,False,gasoline,3.0,suv,False,used,all,7200.0,True,Гомельская обл.,7,62,False,True,False,False,True,True,False,False,True,True,204,2.5-3.0l,12,11-15,2006–2010,Budget,High,6,7
Subaru,Outback,automatic,green,417000,1997,petrol,False,gasoline,2.0,wagon,False,used,front,1850.0,True,Минская обл.,18,23,False,True,False,False,False,True,False,False,False,True,71,1.5-2.0l,22,21-25,1996–2000,Budget,Very High,4,4
Subaru,Outback,automatic,violet,377000,1999,petrol,False,gasoline,2.5,wagon,False,used,all,3800.0,False,Брестская обл.,12,10,False,True,False,False,True,True,False,False,False,True,21,2.0-2.5l,20,16-20,1996–2000,Budget,Very High,4,4
Subaru,Impreza,manual,black,300000,1999,petrol,False,gasoline,2.0,wagon,False,used,all,3000.0,False,Минская обл.,6,103,False,False,False,False,False,False,False,False,False,True,581,1.5-2.0l,20,16-20,1996–2000,Budget,Very High,1,1
Subaru,Legacy,manual,black,270000,2004,petrol,False,gasoline,2.0,sedan,False,used,all,6200.0,False,Витебская обл.,10,21,False,True,True,False,False,False,False,False,False,True,48,1.5-2.0l,15,11-15,2001–2005,Budget,High,3,3
Subaru,Forester,manual,green,444444,1999,petrol,False,gasoline,2.0,wagon,False,used,all,3700.0,False,Минская обл.,6,20,False,True,False,False,True,True,False,False,False,True,60,1.5-2.0l,20,16-20,1996–2000,Budget,Very High,4,4
Subaru,Legacy,automatic,black,299000,1994,gas,True,gasoline,2.2,wagon,False,used,all,650.0,False,Гомельская обл.,9,47,False,False,False,False,False,True,False,False,True,False,85,2.0-2.5l,25,21-25,1991–1995,Budget,High,3,3
Subaru,Impreza,manual,violet,340000,1993,petrol,False,gasoline,1.6,wagon,False,used,all,2000.0,True,Могилевская обл.,4,5,False,False,False,False,False,False,False,False,False,True,91,1.5-2.0l,26,25+,1991–1995,Budget,Very High,2,2
Subaru,Legacy,manual,black,123456,1991,petrol,False,gasoline,2.2,sedan,False,used,all,800.0,False,Брестская обл.,6,16,False,False,False,False,False,False,False,False,True,True,20,2.0-2.5l,28,25+,1991–1995,Budget,Medium,2,2
Subaru,Impreza,manual,silver,118000,2011,petrol,False,gasoline,2.5,sedan,False,used,all,14950.0,True,Минская обл.,26,132,True,False,False,False,False,False,False,False,False,False,174,2.0-2.5l,8,6-10,2011–2015,Economy,Medium,2,4
Subaru,Impreza,automatic,black,246113,2008,petrol,False,gasoline,1.5,hatchback,False,used,all,5350.0,False,Минская обл.,13,11,False,True,True,True,False,True,True,True,False,True,62,<1.5l,11,11-15,2006–2010,Budget,High,7,7
Subaru,Outback,automatic,green,128748,2016,petrol,False,gasoline,3.6,wagon,False,used,all,17059.12,False,Гродненская обл.,24,11,False,True,False,True,True,True,True,True,True,True,15,3.0-4.0l,3,0-5,2016–2020,Economy,Medium,8,11
Subaru,Legacy,manual,red,100000,1994,petrol,False,gasoline,2.0,sedan,False,used,all,1700.0,True,Минская обл.,6,42,False,False,False,True,False,False,False,False,False,True,91,1.5-2.0l,25,21-25,1991–1995,Budget,Medium,3,3
